country,"Unemployment, total (% of total labor force)",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated
Albania,0.03231388431076415,,,0.3621761088487378,,,0.0016075553723800008,0.3305567975118608,-0.48222437990717754,
Antigua and Barbuda,,,,-0.3027612779119696,,,-0.24713502346259478,0.33288154584980606,-0.22550598100538066,-0.04889447031516788
Argentina,0.21965739476393772,-0.5388198917090272,0.18238081307735748,-0.07692804352351394,-0.514315602513313,,0.2361796440066198,0.0769943735622359,-0.4275747100961125,-0.03365299103703736
Armenia,-0.1992967407307088,,-0.39179819966534074,-0.08720156765810619,-0.08053593835181275,,-0.4393188834385522,0.6630828316413965,-0.14993305879205865,
Aruba,,,,,,,-0.3154294918211893,0.3512280598609893,-0.032338931828376875,
Australia,0.6615916540295206,0.6426544741692719,,-0.6651695333822499,,0.5516357938565162,0.12728972257929055,0.20559664085511734,-0.5089726696629837,0.29816421077536154
Austria,-0.579160604189995,0.8078999182490433,-0.6350805050781041,-0.9075812857113424,,-0.969028131710359,-0.401489251650462,0.6115349649224351,-0.12375146426005998,0.7434906265380407
Azerbaijan,-0.13715935917320063,,,-0.18346588905648625,,,,,,
Bahamas,,,,0.029553227103831747,,,,,,
Bahrain,-0.13550610950930198,,,-0.7269456792736936,,,,,,
Barbados,0.8555828092302391,,,-0.5250790385967047,,,,,,
Belarus,0.7718416458005363,,0.8460935105770309,0.6051465236783088,,,-0.32359229826619673,0.5141438765325629,-0.12712682112457815,0.10207398216472023
Belgium,0.06961036963642232,0.5590257347415422,-0.1157625579744665,-0.7398483593591649,,,-0.37634653053852457,0.56773214741456,-0.27359236079667376,
Belize,-0.08408411312542229,,,0.09878957151509757,,,0.012458162129577626,0.2028945008229638,-0.29656495875277594,0.0007960177053074061
Bosnia and Herzegovina,,,,,,,,,,
Brazil,0.07394381454137956,-0.9491765699753554,-0.7412675713730446,0.8521101362100167,0.2597918990848998,,0.22126082490584412,0.17320902942236568,-0.519163270716268,-0.23651694813749727
Bulgaria,0.6019039117333107,0.5089897107246423,,-0.7541967725318883,,,-0.4949278479810431,0.6028519446294365,-0.001954231036880537,0.1615180071617161
Cabo Verde,,,,,,,,,,
Canada,0.8247949527996439,0.7941764690924021,-0.8811332333626914,-0.6485250757783635,,,-0.026959978313479398,0.28888797785556947,-0.46701818147376334,0.3311211522314182
Chile,0.6257874699487528,-0.8561155703388454,-0.8663452279129702,0.6765199826672741,-0.4435414930379036,,0.04682847332094449,0.2507787597824123,-0.43233472546143553,0.028273684794951542
Colombia,0.7059578719795643,0.30759938351602273,0.5315660208246717,-0.46246622407783955,-0.9010275713945176,,0.5782066374801234,-0.3413992365892927,-0.5833317629364021,
