country,Unemployment Rate (% of total labor force),Avg. Annual Working Hours (/worker),Gini Index,Health Expenditure (% of GDP),Life Satisfaction (Cantril Scale), Education Level (ISCED >=4 ),Proportion Single (Never married),Proportion Married,Proportion Widowed (Not remarried),Proportion Married (Separated)
Albania,0.032313884,,,0.362176109,,,0.001607555,0.330556798,-0.48222438,
Antigua and Barbuda,,,,-0.302761278,,,-0.247135023,0.332881546,-0.225505981,-0.04889447
Argentina,0.219657395,-0.538819892,0.182380813,-0.076928044,-0.514315603,,0.236179644,0.076994374,-0.42757471,-0.033652991
Armenia,-0.199296741,,-0.3917982,-0.087201568,-0.080535938,,-0.439318883,0.663082832,-0.149933059,
Aruba,,,,,,,-0.315429492,0.35122806,-0.032338932,
Australia,0.661591654,0.642654474,,-0.665169533,,0.551635794,0.127289723,0.205596641,-0.50897267,0.298164211
Austria,-0.579160604,0.807899918,-0.635080505,-0.907581286,,-0.969028132,-0.401489252,0.611534965,-0.123751464,0.743490627
Azerbaijan,-0.137159359,,,-0.183465889,,,,,,
Bahamas,,,,0.029553227,,,,,,
Bahrain,-0.13550611,,,-0.726945679,,,,,,
Barbados,0.855582809,,,-0.525079039,,,,,,
Belarus,0.771841646,,0.846093511,0.605146524,,,-0.323592298,0.514143877,-0.127126821,0.102073982
Belgium,0.06961037,0.559025735,-0.115762558,-0.739848359,,,-0.376346531,0.567732147,-0.273592361,
Belize,-0.084084113,,,0.098789572,,,0.012458162,0.202894501,-0.296564959,0.000796018
Bosnia and Herzegovina,,,,,,,,,,
Brazil,0.073943815,-0.94917657,-0.741267571,0.852110136,0.259791899,,0.221260825,0.173209029,-0.519163271,-0.236516948
Bulgaria,0.601903912,0.508989711,,-0.754196773,,,-0.494927848,0.602851945,-0.001954231,0.161518007
Cabo Verde,,,,,,,,,,
Canada,0.824794953,0.794176469,-0.881133233,-0.648525076,,,-0.026959978,0.288887978,-0.467018181,0.331121152
